index,type,image_url,status_code,response_time_sec
0,serverless,https://www.ikea.com/ca/en/images/products/pinntorp-chair-light-brown-stained__1296225_pe935730_s5.jpg?f=s,200,2.662
0,containerized,https://www.ikea.com/ca/en/images/products/pinntorp-chair-light-brown-stained__1296225_pe935730_s5.jpg?f=s,200,3.02
1,serverless,https://safariavventura.com/wp-content/uploads/2018/02/leone-africano-2-750x500.jpg,200,3.018
1,containerized,https://safariavventura.com/wp-content/uploads/2018/02/leone-africano-2-750x500.jpg,200,1.998
2,serverless,https://upload.wikimedia.org/wikipedia/commons/thumb/4/40/Sunflower_sky_backdrop.jpg/1200px-Sunflower_sky_backdrop.jpg,200,4.012
2,containerized,https://upload.wikimedia.org/wikipedia/commons/thumb/4/40/Sunflower_sky_backdrop.jpg/1200px-Sunflower_sky_backdrop.jpg,200,4.017
3,serverless,https://www.factsaboutbpa.org/wp-content/uploads/2017/09/waterbottles.png,200,3.514
3,containerized,https://www.factsaboutbpa.org/wp-content/uploads/2017/09/waterbottles.png,200,2.513
4,serverless,https://cdn11.bigcommerce.com/s-93wuni90xs/images/stencil/1280x1280/products/2751/2308/601050201-COKE-CLASSIC-CANS-24X355ML-CASE-2_850x__87763.1689725185.jpg?c=1,200,6.026
4,containerized,https://cdn11.bigcommerce.com/s-93wuni90xs/images/stencil/1280x1280/products/2751/2308/601050201-COKE-CLASSIC-CANS-24X355ML-CASE-2_850x__87763.1689725185.jpg?c=1,200,1.376
5,serverless,"https://hips.hearstapps.com/hmg-prod/images/red-fresh-apple-isolated-on-white-background-royalty-free-image-1627314996.jpg?crop=1.00xw:0.923xh;0,0.0486xh&resize=980:*",200,0.632
5,containerized,"https://hips.hearstapps.com/hmg-prod/images/red-fresh-apple-isolated-on-white-background-royalty-free-image-1627314996.jpg?crop=1.00xw:0.923xh;0,0.0486xh&resize=980:*",200,2.008
6,serverless,https://images.contentstack.io/v3/assets/bltcedd8dbd5891265b/bltbe582204aeeff242/66707b1b10fde34db2a4a164/facts-about-oranges-1200x675-1.jpg?q=70&width=3840&auto=webp,200,7.031
6,containerized,https://images.contentstack.io/v3/assets/bltcedd8dbd5891265b/bltbe582204aeeff242/66707b1b10fde34db2a4a164/facts-about-oranges-1200x675-1.jpg?q=70&width=3840&auto=webp,200,4.02
7,serverless,"https://img.cdn4dd.com/cdn-cgi/image/fit=cover,width=672,height=672,format=auto/https://doordash-static.s3.amazonaws.com/media/photosV2/5761de9b-17d7-4c85-9340-107f639fb78d-retina-large.jpg",200,2.395
7,containerized,"https://img.cdn4dd.com/cdn-cgi/image/fit=cover,width=672,height=672,format=auto/https://doordash-static.s3.amazonaws.com/media/photosV2/5761de9b-17d7-4c85-9340-107f639fb78d-retina-large.jpg",200,0.461
8,serverless,https://i.etsystatic.com/18056386/r/il/7a5d9e/3567019801/il_fullxfull.3567019801_aalj.jpg,200,1.116
8,containerized,https://i.etsystatic.com/18056386/r/il/7a5d9e/3567019801/il_fullxfull.3567019801_aalj.jpg,200,1.975
9,serverless,"https://m.media-amazon.com/images/I/81-SCKOpVaL._AC_UF894,1000_QL80_.jpg",200,1.074
9,containerized,"https://m.media-amazon.com/images/I/81-SCKOpVaL._AC_UF894,1000_QL80_.jpg",200,2.016
10,serverless,https://www.cnet.com/a/img/resize/21975cb722d17a686a6fbafc8da03ae60ae11d2f/hub/2024/12/05/c2411d78-184f-4b5e-820e-921af87a910b/samsung-du7200.jpg?auto=webp&height=500,200,3.006
10,containerized,https://www.cnet.com/a/img/resize/21975cb722d17a686a6fbafc8da03ae60ae11d2f/hub/2024/12/05/c2411d78-184f-4b5e-820e-921af87a910b/samsung-du7200.jpg?auto=webp&height=500,200,2.87
11,serverless,https://www.sundays-company.ca/cdn/shop/files/BED-RN-003-067-0_CL2.jpg?v=1735628216&width=1024,200,2.149
11,containerized,https://www.sundays-company.ca/cdn/shop/files/BED-RN-003-067-0_CL2.jpg?v=1735628216&width=1024,200,3.019
12,serverless,https://ak1.ostkcdn.com/images/products/is/images/direct/d814d061016f7899e73f3b0feaafdd542f5dfa56/90.5%27%27-Modern-Couch-for-Living-Room-Sofa%2CSolid-Wood-Frame-and-Stable-Metal-Legs%2C-2-Pillows%2C-Sofa-Furniture.jpg,200,3.003
12,containerized,https://ak1.ostkcdn.com/images/products/is/images/direct/d814d061016f7899e73f3b0feaafdd542f5dfa56/90.5%27%27-Modern-Couch-for-Living-Room-Sofa%2CSolid-Wood-Frame-and-Stable-Metal-Legs%2C-2-Pillows%2C-Sofa-Furniture.jpg,200,3.012
13,serverless,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTBL1k_Ex-4nD3XSg7doLGkBb-Xa4YA9lul_w&s,200,1.561
13,containerized,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTBL1k_Ex-4nD3XSg7doLGkBb-Xa4YA9lul_w&s,200,2.464
14,serverless,https://climate.esa.int/media/images/Sea-State-CCI_192.2e16d0ba.fill-600x314-c100.format-jpeg.jpg,200,2.493
14,containerized,https://climate.esa.int/media/images/Sea-State-CCI_192.2e16d0ba.fill-600x314-c100.format-jpeg.jpg,200,1.009
15,serverless,https://i.guim.co.uk/img/static/sys-images/Guardian/Pix/pictures/2015/1/27/1422326959406/14210710-9fd3-405a-9ade-a03ca129e8d6-2060x1236.jpeg?width=700&quality=85&auto=format&fit=max&s=a81232e0c6d673dce3905f81776e24fc,200,0.51
15,containerized,https://i.guim.co.uk/img/static/sys-images/Guardian/Pix/pictures/2015/1/27/1422326959406/14210710-9fd3-405a-9ade-a03ca129e8d6-2060x1236.jpeg?width=700&quality=85&auto=format&fit=max&s=a81232e0c6d673dce3905f81776e24fc,200,1.487
16,serverless,https://cff2.earth.com/uploads/2023/05/08165030/pine-trees_1medium.jpg,200,0.858
16,containerized,https://cff2.earth.com/uploads/2023/05/08165030/pine-trees_1medium.jpg,200,2.675
17,serverless,https://www.welcomewildlife.com/wp-content/uploads/2019/02/Raccoon-Neil-McIntosh-Flickr-CC-BY-2.0-scaled.jpg,200,4.021
17,containerized,https://www.welcomewildlife.com/wp-content/uploads/2019/02/Raccoon-Neil-McIntosh-Flickr-CC-BY-2.0-scaled.jpg,200,4.009
18,serverless,https://animals.sandiegozoo.org/sites/default/files/2016-11/animals_hero_lizards.jpg,200,4.06
18,containerized,https://animals.sandiegozoo.org/sites/default/files/2016-11/animals_hero_lizards.jpg,200,4.681
19,serverless,https://www.shutterstock.com/image-photo/red-fox-vulpes-sitting-attention-260nw-392638390.jpg,200,2.255
19,containerized,https://www.shutterstock.com/image-photo/red-fox-vulpes-sitting-attention-260nw-392638390.jpg,200,3.064
